date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:48:58	123628/123628	---M--	200	added ('OK')	image/jpeg	etag:%221803f06-1e2ec-4b9cc738%22	http://pierre.verpeaux.free.fr/arman.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/arman.jpg	(from http://nagi.ml/)
18:49:05	118016/118016	---M--	200	added ('OK')	image/jpeg	etag:%221803ee6-1cd00-4b9cc764%22	http://pierre.verpeaux.free.fr/leman1.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/leman1.jpg	(from http://nagi.ml/)
18:49:13	100259/100259	---M--	200	added ('OK')	image/jpeg	etag:%221803f04-187a3-4b9cc76b%22	http://pierre.verpeaux.free.fr/smcv1.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/smcv1.jpg	(from http://nagi.ml/)
18:49:14	11069/11069	---M--	200	added ('OK')	text/css	etag:%221673196238.400884-11069-4203089372%22	http://nagi.ml/static/styles-photos.css	C:/Users/valentin/Desktop/pierreverpeaux/c/nagi.ml/static/styles-photos.css	(from http://nagi.ml/photos)
18:49:20	288580/288580	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-46744%22	https://code.jquery.com/jquery-3.6.0.js	C:/Users/valentin/Desktop/pierreverpeaux/c/code.jquery.com/jquery-3.6.0.js	(from http://nagi.ml/)
18:49:25	295945/295945	---M--	200	added ('OK')	image/jpeg	etag:%221803ece-48409-4b9cc749%22	http://pierre.verpeaux.free.fr/caddy1.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/caddy1.jpg	(from http://nagi.ml/)
18:49:41	103401/103401	---M--	200	added ('OK')	image/jpeg	etag:%221803eba-193e9-4b9cc756%22	http://pierre.verpeaux.free.fr/ds1.JPG	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/ds1.jpg	(from http://nagi.ml/photos)
18:49:49	935652/935652	---M--	200	added ('OK')	image/png	etag:%22f714588d8ed7ab39a1db4fb115ca9e6d%22	https://i.imgur.com/9fnRCHd.png	C:/Users/valentin/Desktop/pierreverpeaux/c/i.imgur.com/9fnRCHd.png	(from http://nagi.ml/)
18:49:58	102930/102930	---M--	200	added ('OK')	image/jpeg	etag:%221803ebb-19212-4b9cc756%22	http://pierre.verpeaux.free.fr/ds2.JPG	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/ds2.jpg	(from http://nagi.ml/photos)
18:49:59	66926/66926	---M--	200	added ('OK')	image/jpeg	etag:%221803ebc-1056e-4b9cc756%22	http://pierre.verpeaux.free.fr/ds3.JPG	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/ds3.jpg	(from http://nagi.ml/photos)
18:50:02	274852/274852	---M--	200	added ('OK')	image/jpeg	etag:%221803f17-431a4-4b9cc738%22	http://pierre.verpeaux.free.fr/58av1.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/58av1.jpg	(from http://nagi.ml/photos)
